variant_id,variable,level,jd_id,jd_category,model,score
name_english_01,name,english,jd_17749ce6c93ea26c,consulting,tfidf,0.01840942089284702
name_english_01,name,english,jd_1816188e68594aa1,swe,tfidf,0.023195753131807797
name_english_01,name,english,jd_1962f1bb30accf2d,data,tfidf,0.0316673741730977
name_english_01,name,english,jd_1a37599c56e97052,data,tfidf,0.021405480276013154
name_english_01,name,english,jd_1ae0b11da63288a6,data,tfidf,0.024446836792140197
name_english_01,name,english,jd_1c28aa702102ad60,product,tfidf,0.018617971057561966
name_english_01,name,english,jd_1cac2873b40bd604,consulting,tfidf,0.012417087620002537
name_english_01,name,english,jd_1d64a46b76234cda,data,tfidf,0.02459502243723182
name_english_01,name,english,jd_1ec8407165dcc4a3,swe,tfidf,0.032169308733986254
name_english_01,name,english,jd_1f23c60a48236b11,swe,tfidf,0.02353362838121435
name_english_01,name,english,jd_1ff3006b16b1697b,product,tfidf,0.01775937239465903
name_english_01,name,english,jd_200946c0c5d0ae0b,unclassified,tfidf,0.015612629104226089
name_english_01,name,english,jd_201e63cf39154616,unclassified,tfidf,0.024717774995766818
name_english_01,name,english,jd_2116afc3b2bcd322,unclassified,tfidf,0.02124783874352877
name_english_01,name,english,jd_225fabbfbbf62c4f,swe,tfidf,0.026978052194659822
name_english_01,name,english,jd_23647ae909026b96,product,tfidf,0.01809048261396753
